area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,area_type_encoded
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,2.0,845.0,6508.87573964497,3
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,4.0,5700.0,11403.508771929824,2
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,2.0,1160.0,3793.103448275862,0
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,Unknown,3000,8.0,0.0,140.0,8.0,3000.0,4666.666666666667,0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Unknown,1100,2.0,1.0,62.0,2.0,1100.0,5636.363636363636,3
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,2.0,1140.0,3771.9298245614036,3
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1220,2.0,1.0,57.0,2.0,1220.0,4672.131147540984,3
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,Unknown,1350,7.0,0.0,85.0,8.0,1350.0,6296.2962962962965,2
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Unknown,1005,2.0,1.0,36.68,2.0,1005.0,3649.7512437810947,3
Plot  Area,Ready To Move,Double Road,3 Bedroom,Unknown,500,3.0,2.0,100.0,3.0,500.0,20000.0,2
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,2.0,1358.0,5933.726067746687,3
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,3.0,1569.0,6437.221159974506,3
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,2.0,1240.0,5645.1612903225805,3
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,3.0,2089.0,6701.771182383915,3
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Unknown,1206,2.0,1.0,48.23,2.0,1206.0,3999.1708126036483,3
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Unknown,1150,2.0,3.0,40.0,2.0,1150.0,3478.2608695652175,3
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,3.0,2511.0,8164.078056551175,0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Unknown,460,1.0,0.0,22.0,2.0,460.0,4782.608695652174,0
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,Unknown,4400,6.0,3.0,250.0,6.0,4400.0,5681.818181818182,0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,3.0,1660.0,6325.301204819277,3
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,2.0,2.0,224.5,4.0,3203.5,7007.960043702201,0
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,2.0,1326.0,5882.35294117647,3
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Unknown,1325,2.0,2.0,60.8,3.0,1325.0,4588.679245283019,3
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,3.0,1499.0,6804.536357571715,3
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,Unknown,3000,7.0,2.0,210.0,6.0,3000.0,7000.0,0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Unknown,1665,3.0,2.0,88.0,3.0,1665.0,5285.285285285286,3
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,2.0,708.0,5225.988700564972,3
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,2.0,1060.0,5477.358490566037,3
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,Unknown,710,6.0,3.0,160.0,6.0,710.0,22535.211267605635,2
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,2.0,1000.0,7000.0,0
Super built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1000,2.0,1.0,28.88,2.0,1000.0,2888.0,3
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,Unknown,1450,2.0,2.0,70.0,3.0,1450.0,4827.586206896552,3
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,Unknown,1200,4.0,2.0,155.0,4.0,1200.0,12916.666666666666,2
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,2.0,1296.0,6172.83950617284,3
Super built-up  Area,Ready To Move,Domlur,3 BHK,Unknown,1540,3.0,2.0,90.0,3.0,1540.0,5844.1558441558445,3
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,4.0,2894.0,8465.791292328957,2
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Unknown,1330,2.0,1.0,48.0,3.0,1330.0,3609.0225563909776,3
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,Unknown,1200,2.0,1.0,65.0,2.0,1200.0,5416.666666666667,0
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,Unknown,1200,3.0,1.0,90.0,3.0,1200.0,7500.0,0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,3.0,2502.0,5515.587529976019,3
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,2.0,650.0,2615.3846153846152,0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,3.0,2400.0,6250.0,2
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,2.0,1007.0,4270.109235352532,3
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,2.0,1200.0,4166.666666666667,3
Super built-up  Area,Ready To Move,Peenya,2 BHK,Unknown,966,2.0,2.0,49.9,2.0,966.0,5165.631469979296,3
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Unknown,1630,2.0,1.0,98.0,3.0,1630.0,6012.269938650306,0
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,3.0,1640.0,13963.414634146342,0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Unknown,782,2.0,2.0,55.68,2.0,782.0,7120.204603580562,0
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,2.0,1260.0,5300.0,3
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,Unknown,1800,3.0,3.0,120.0,3.0,1800.0,6666.666666666667,3
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,3.0,1413.0,5307.855626326964,3
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,2.0,1116.0,4651.433691756272,3
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,3.0,1530.0,3000.0,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Unknown,3700,4.0,1.0,225.0,4.0,3700.0,6081.081081081081,0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,3.0,2497.0,5606.728073688426,0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,3.0,1540.0,4155.8441558441555,3
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Unknown,1436,3.0,1.0,74.75,3.0,1436.0,5205.431754874652,3
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,Unknown,1100,2.0,2.0,75.0,2.0,1100.0,6818.181818181818,3
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,Unknown,276,3.0,3.0,23.0,2.0,276.0,8333.333333333334,2
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,4.0,5611.5,8500.400962309543,3
Built-up  Area,Ready To Move,Shampura,4 BHK,Unknown,2650,4.0,2.0,150.0,4.0,2650.0,5660.377358490566,0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,3.0,1282.0,5344.773790951638,3
Built-up  Area,Ready To Move,Kadugodi,2 BHK,Unknown,1050,2.0,1.0,34.0,2.0,1050.0,3238.095238095238,0
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,3.0,1600.0,4062.5,0
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,Unknown,945,2.0,1.0,54.0,2.0,945.0,5714.285714285715,3
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,2.0,1500.0,5200.0,3
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,Unknown,950,7.0,0.0,115.0,7.0,950.0,12105.263157894737,2
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,3.0,1870.0,5882.35294117647,0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,3.0,1600.0,4687.5,2
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,2.0,880.0,1875.0,3
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,Unknown,1200,4.0,0.0,210.0,4.0,1200.0,17500.0,2
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,3.0,1535.0,5407.166123778502,3
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,2.0,950.0,6000.0,0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,2.0,1360.0,4779.411764705882,3
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,2.0,1073.5,5030.740568234746,3
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,Unknown,1280,3.0,1.0,50.4,3.0,1280.0,3937.5,3
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,3.0,1260.0,6750.0,3
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,Unknown,5000,8.0,2.0,250.0,8.0,5000.0,5000.0,0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,5.0,3050.0,6983.606557377049,3
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,3.0,1563.05,6717.635392341896,3
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,Unknown,1000,2.0,1.0,60.0,2.0,1000.0,6000.0,3
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,2.0,1167.0,3749.7857754927163,3
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,Unknown,4000,7.0,2.0,225.0,7.0,4000.0,5625.0,3
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,2.0,110.0,3.0,1828.0,6017.505470459519,3
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,2.0,890.0,3932.5842696629215,3
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,3.0,1612.0,2899.5037220843674,3
Plot  Area,Ready To Move,Dinnur,6 Bedroom,Unknown,1034,5.0,2.0,185.0,6.0,1034.0,17891.682785299807,2
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,3.0,1710.0,5339.766081871345,3
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,2.0,957.0,6060.606060606061,3
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,Unknown,1250,2.0,3.0,44.0,3.0,1250.0,3520.0,3
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,2.0,235.0,3.0,2795.0,8407.871198568873,3
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,2.0,1125.0,4444.444444444444,3
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,2.0,1020.0,3000.0,3
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Unknown,1200,2.0,2.0,50.0,2.0,1200.0,4166.666666666667,3
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,3.0,1735.0,7780.979827089337,3
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,3.0,2050.0,7073.170731707317,3
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,Unknown,3750,4.0,0.0,760.0,4.0,3750.0,20266.666666666668,2
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,Unknown,1350,2.0,3.0,48.0,3.0,1350.0,3555.5555555555557,0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,2.0,1063.0,3010.348071495767,3
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,3.0,1904.0,7878.151260504202,3
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Unknown,4200,4.0,2.0,420.0,4.0,4200.0,10000.0,0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,3.0,2000.0,8750.0,3
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,2.0,1242.5,3500.201207243461,3
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,3.0,1425.0,5263.1578947368425,3
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,3.0,1500.0,4300.0,3
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,2.0,1060.0,5660.377358490566,0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,3.0,1470.0,4761.9047619047615,0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,Unknown,1300,6.0,0.0,99.0,6.0,1300.0,7615.384615384615,3
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,1.0,450.0,2444.4444444444443,3
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,2.0,1152.0,5598.958333333333,3
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,3.0,1350.0,4148.148148148148,3
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,3.0,1550.0,4193.548387096775,3
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,Unknown,1500,3.0,2.0,100.0,3.0,1500.0,6666.666666666667,2
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,Unknown,600,3.0,2.0,85.0,5.0,600.0,14166.666666666666,2
Plot  Area,Ready To Move,Nagavara,1 Bedroom,Unknown,400,1.0,0.0,14.0,1.0,400.0,3500.0,2
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,1.0,705.0,9503.54609929078,3
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,2.0,770.0,4675.324675324675,0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,2.0,1242.0,4106.280193236715,3
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,3.0,1700.0,9117.64705882353,3
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,3.0,2144.0,6763.059701492537,3
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,3.0,1704.0,6455.399061032864,3
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,2.0,1070.0,4859.813084112149,3
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,Unknown,1846,3.0,2.0,300.0,3.0,1846.0,16251.354279523293,2
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Unknown,1340,2.0,2.0,55.7,2.0,1340.0,4156.7164179104475,3
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,2.0,1025.0,4487.804878048781,0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,2.0,1277.5,4446.183953033268,3
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,2.0,1200.0,4333.333333333333,3
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,Unknown,2250,4.0,1.0,110.0,4.0,2250.0,4888.888888888889,0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,3.0,1550.0,5161.290322580645,3
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,2.0,1200.0,5000.0,3
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,2.0,1327.0,7385.079125847777,3
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1186,2.0,2.0,58.0,2.0,1186.0,4890.387858347386,3
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,Unknown,1783,3.0,1.0,115.0,3.0,1783.0,6449.8037016264725,0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,3.0,1400.0,4000.0,3
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,Unknown,980,2.0,1.0,48.0,2.0,980.0,4897.959183673469,3
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,Unknown,1285,2.0,2.0,82.0,2.0,1285.0,6381.322957198444,3
Super built-up  Area,Ready To Move,Langford Town,3 BHK,Unknown,912,2.0,1.0,70.0,3.0,912.0,7675.438596491228,3
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6,2.0,1225.0,3885.714285714286,0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1075,2.0,1.0,53.0,2.0,1075.0,4930.232558139535,3
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0,3.0,1260.0,4285.714285714285,0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7,3.0,1282.0,3798.751950078003,3
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,3.0,1909.0,4609.743321110529,3
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0,2.0,1359.0,6401.766004415011,3
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,Unknown,1207,2.0,2.0,43.5,2.0,1207.0,3603.976801988401,0
